Indicator Name,Indicator Code,ZAF,GHA,COD,KEN,ZWE,NGA,total
"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,63,63,63,63,63,63,378
GDP (constant 2015 US$),NY.GDP.MKTP.KD,63,63,63,63,63,63,378
"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,63,63,63,63,63,63,378
DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,63,63,63,63,63,63,378
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,63,63,63,63,63,63,378
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,63,63,63,63,63,63,378
"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,63,63,63,63,63,63,378
Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,63,63,63,63,63,63,378
"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,63,63,63,63,63,63,378
"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,63,63,63,63,63,63,378
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,63,63,63,63,63,63,378
GDP per capita (constant LCU),NY.GDP.PCAP.KN,63,63,63,63,63,63,378
"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,63,63,63,63,63,63,378
"Population ages 65 and above, female",SP.POP.65UP.FE.IN,63,63,63,63,63,63,378
"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,63,63,63,63,63,63,378
"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,63,63,63,63,63,63,378
"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,63,63,63,63,63,63,378
"Population, female",SP.POP.TOTL.FE.IN,63,63,63,63,63,63,378
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,63,63,63,63,63,63,378
"Population ages 15-64, male",SP.POP.1564.MA.IN,63,63,63,63,63,63,378
"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,63,63,63,63,63,63,378
"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,63,63,63,63,63,63,378
"Population ages 65 and above, total",SP.POP.65UP.TO,63,63,63,63,63,63,378
"Population ages 0-14, female",SP.POP.0014.FE.IN,63,63,63,63,63,63,378
"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,63,63,63,63,63,63,378
"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,63,63,63,63,63,63,378
"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,63,63,63,63,63,63,378
Rural population (% of total population),SP.RUR.TOTL.ZS,63,63,63,63,63,63,378
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,62,62,62,62,62,62,372
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,62,62,62,62,62,62,372
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,62,62,62,62,62,62,372
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,62,62,62,62,62,62,372
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,62,62,62,62,62,62,372
Rural population growth (annual %),SP.RUR.TOTL.ZG,62,62,62,62,62,62,372
Urban population growth (annual %),SP.URB.GROW,62,62,62,62,62,62,372
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62,62,62,62,62,62,372
"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,62,62,62,62,62,62,372
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,62,62,62,62,62,62,372
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,62,62,62,62,62,62,372
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,62,62,62,62,62,62,372
Aquaculture production (metric tons),ER.FSH.AQUA.MT,62,62,62,62,62,62,372
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,62,62,62,62,62,62,372
"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,62,62,62,62,62,62,372
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,62,62,62,62,62,62,372
Population growth (annual %),SP.POP.GROW,62,62,62,62,62,62,372
Net migration,SM.POP.NETM,62,62,62,62,62,62,372
Total fisheries production (metric tons),ER.FSH.PROD.MT,62,62,62,62,62,62,372
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,62,62,62,62,62,62,372
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,62,62,62,62,62,62,372
Capture fisheries production (metric tons),ER.FSH.CAPT.MT,62,62,62,62,62,62,372
Land under cereal production (hectares),AG.LND.CREL.HA,61,61,61,61,61,61,366
Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,61,61,61,61,61,61,366
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,61,61,61,61,61,61,366
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,63,63,62,63,52,63,366
Cereal production (metric tons),AG.PRD.CREL.MT,61,61,61,61,61,61,366
Cereal yield (kg per hectare),AG.YLD.CREL.KG,61,61,61,61,61,61,366
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,61,61,61,61,61,61,366
Total reserves minus gold (current US$),FI.RES.XGLD.CD,63,62,62,58,57,63,365
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,63,62,62,58,57,63,365
"Renewable internal freshwater resources, total (billion cubic meters)",ER.H2O.INTR.K3,60,60,60,60,60,60,360
Arable land (% of land area),AG.LND.ARBL.ZS,60,60,60,60,60,60,360
Agricultural land (% of land area),AG.LND.AGRI.ZS,60,60,60,60,60,60,360
Land area (sq. km),AG.LND.TOTL.K2,60,60,60,60,60,60,360
Surface area (sq. km),AG.SRF.TOTL.K2,60,60,60,60,60,60,360
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,60,60,60,60,60,60,360
Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,60,60,60,60,60,60,360
Permanent cropland (% of land area),AG.LND.CROP.ZS,60,60,60,60,60,60,360
Population density (people per sq. km of land area),EN.POP.DNST,60,60,60,60,60,60,360
Agricultural land (sq. km),AG.LND.AGRI.K2,60,60,60,60,60,60,360
Arable land (hectares),AG.LND.ARBL.HA,60,60,60,60,60,60,360
Arable land (hectares per person),AG.LND.ARBL.HA.PC,60,60,60,60,60,60,360
Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,60,60,58,60,60,60,358
Military expenditure (current LCU),MS.MIL.XPND.CN,62,61,55,59,53,62,352
Military expenditure (current USD),MS.MIL.XPND.CD,62,61,55,59,53,62,352
"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,48,62,53,62,62,58,345
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,48,62,53,62,62,58,345
"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,48,62,53,62,62,58,345
"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,48,62,53,62,62,58,345
"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,48,62,53,62,62,58,345
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,48,62,53,62,62,58,345
Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,63,63,30,63,63,63,345
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,63,63,30,63,63,63,345
GNI (current US$),NY.GNP.MKTP.CD,63,63,29,63,63,63,344
GNI per capita (current LCU),NY.GNP.PCAP.CN,63,63,29,63,63,63,344
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,62,57,52,57,62,54,344
Fixed telephone subscriptions,IT.MLT.MAIN,62,57,52,57,62,54,344
GNI (current LCU),NY.GNP.MKTP.CN,63,63,29,63,63,63,344
Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,61,61,57,61,43,60,343
Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,61,61,57,61,43,60,343
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,61,61,57,61,43,60,343
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,61,61,57,61,43,60,343
Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,61,61,57,61,43,60,343
Number of infant deaths,SH.DTH.IMRT,47,62,52,62,62,57,342
Net foreign assets (current LCU),FM.AST.NFRG.CN,57,63,55,56,45,62,338
CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,57,57,57,57,53,57,338
CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,57,57,57,57,53,57,338
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,57,57,57,57,53,57,338
CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,57,57,57,57,53,57,338
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,57,57,57,57,53,57,338
Monetary Sector credit to private sector (% GDP),FM.AST.PRVT.GD.ZS,57,63,55,61,40,62,338
CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,57,57,57,57,53,57,338
Net official development assistance and official aid received (constant 2020 US$),DT.ODA.ALLD.KD,29,62,62,62,60,62,337
"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,29,62,62,62,60,62,337
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,56,63,55,61,40,62,337
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,29,62,62,62,60,62,337
Net official development assistance received (current US$),DT.ODA.ODAT.CD,29,62,62,62,60,62,337
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,29,62,62,62,60,62,337
Net official development assistance received (constant 2020 US$),DT.ODA.ODAT.KD,29,62,62,62,60,62,337
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,29,62,62,62,60,62,337
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,57,63,55,62,36,63,336
"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,29,62,62,62,58,62,335
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,29,62,62,62,58,62,335
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,62,60,39,59,53,62,335
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,61,61,29,61,61,61,334
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,61,61,29,61,61,61,334
"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,57,63,55,56,41,62,334
Net domestic credit (current LCU),FM.AST.DOMS.CN,57,63,54,56,41,62,333
Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,61,61,46,61,43,60,332
Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,58,63,52,56,41,62,332
Broad money (current LCU),FM.LBL.BMNY.CN,58,63,52,56,41,62,332
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,29,62,57,62,60,62,332
Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,58,62,52,56,41,62,331
Number of under-five deaths,SH.DTH.MORT,43,62,48,62,62,53,330
"Net bilateral aid flows from DAC donors, Canada (current US$)",DC.DAC.CANL.CD,29,62,58,62,56,62,329
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,63,63,29,63,47,62,327
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,63,63,29,63,47,62,327
Exports of goods and services (current US$),NE.EXP.GNFS.CD,63,63,29,63,47,62,327
Trade (% of GDP),NE.TRD.GNFS.ZS,63,63,29,63,47,62,327
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,63,62,35,63,62,42,327
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,63,63,29,63,47,62,327
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,63,63,29,63,47,62,327
External balance on goods and services (current US$),NE.RSB.GNFS.CD,63,63,29,63,47,62,327
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,63,62,35,63,62,42,327
Imports of goods and services (current US$),NE.IMP.GNFS.CD,63,63,29,63,47,62,327
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,63,63,29,63,47,62,327
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,63,63,29,63,47,62,327
Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,60,60,45,61,42,58,326
Broad money growth (annual %),FM.LBL.BMNY.ZG,57,62,50,55,39,61,324
Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,57,61,45,61,42,58,324
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,55,62,51,55,39,61,323
General government final consumption expenditure (current US$),NE.CON.GOVT.CD,63,63,29,63,62,41,321
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,63,62,29,63,62,42,321
Households and NPISHs Final consumption expenditure (current LCU),NE.CON.PRVT.CN,63,63,29,63,62,41,321
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,63,63,29,63,62,41,321
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,63,63,29,63,62,41,321
Final consumption expenditure (current LCU),NE.CON.TOTL.CN,63,63,29,63,62,41,321
Final consumption expenditure (current US$),NE.CON.TOTL.CD,63,63,29,63,62,41,321
Gross domestic savings (current US$),NY.GDS.TOTL.CD,63,63,29,63,62,41,321
Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,55,62,51,55,37,61,321
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,63,63,29,63,62,41,321
Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,63,63,29,63,62,41,321
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,63,63,29,63,62,41,321
Gross value added at basic prices (GVA) (current LCU),NY.GDP.FCST.CN,63,62,29,63,62,42,321
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,63,63,29,63,62,41,321
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,63,63,29,63,62,41,321
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,53,53,53,53,53,53,318
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,60,60,37,61,42,58,318
"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,63,63,29,63,57,42,317
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,63,63,29,63,57,42,317
"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,63,63,29,63,57,42,317
"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,47,57,38,62,57,55,316
Consumer price index (2010 = 100),FP.CPI.TOTL,63,59,54,63,14,63,316
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,53,52,52,52,52,53,314
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,53,52,52,52,52,53,314
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,29,62,58,62,44,59,314
Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,61,60,34,61,42,55,313
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,63,58,53,63,13,63,313
Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,52,52,52,52,52,52,312
"Primary education, duration (years)",SE.PRM.DURS,52,52,52,52,52,52,312
"Secondary education, duration (years)",SE.SEC.DURS,52,52,52,52,52,52,312
Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,52,52,52,52,52,52,312
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,52,52,52,52,52,52,312
Primary school starting age (years),SE.PRM.AGES,52,52,52,52,52,52,312
Lower secondary school starting age (years),SE.SEC.AGES,52,52,52,52,52,52,312
Changes in inventories (current LCU),NE.GDI.STKB.CN,63,56,30,59,62,41,311
Changes in inventories (current US$),NE.GDI.STKB.CD,63,56,30,59,62,41,311
Number of neonatal deaths,SH.DTH.NMRT,46,56,37,62,56,54,311
"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,29,57,60,59,51,55,311
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,63,58,28,63,57,42,311
"Manufacturing, value added (current US$)",NV.IND.MANF.CD,63,58,28,63,57,42,311
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,63,58,28,63,57,42,311
Gross capital formation (current LCU),NE.GDI.TOTL.CN,63,56,29,59,62,41,310
Gross capital formation (current US$),NE.GDI.TOTL.CD,63,56,29,59,62,41,310
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,63,56,29,59,62,41,310
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,63,56,28,59,62,41,309
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,63,56,28,59,62,41,309
Gross national expenditure (current US$),NE.DAB.TOTL.CD,63,56,28,59,62,41,309
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,63,58,29,63,53,42,308
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,63,58,29,63,53,42,308
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,63,58,29,63,53,42,308
Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,51,51,51,51,51,52,307
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,51,51,51,51,51,51,306
Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,51,51,51,51,51,51,306
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,51,51,51,51,51,51,306
Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,51,51,51,51,51,51,306
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,51,51,51,51,51,51,306
Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,51,51,51,51,51,51,306
Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,51,51,49,51,51,52,305
Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,23,61,57,61,43,60,305
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,23,61,57,61,43,60,305
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,29,60,55,59,42,60,305
Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,23,61,57,61,43,60,305
Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,23,61,57,60,43,60,304
Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS,23,61,57,60,43,60,304
Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS,23,61,57,60,43,60,304
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,63,49,29,59,62,41,303
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,63,49,29,59,62,41,303
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,29,58,57,58,42,59,303
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,29,62,28,62,60,62,303
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,63,49,29,59,62,41,303
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,50,50,50,50,50,51,301
Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS,23,61,56,60,41,58,299
Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,23,61,55,61,41,58,299
"Net bilateral aid flows from DAC donors, Norway (current US$)",DC.DAC.NORL.CD,29,57,56,58,42,56,298
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,50,50,47,50,50,50,297
Mobile cellular subscriptions,IT.CEL.SETS,50,50,47,50,50,50,297
Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,23,61,55,57,41,58,295
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,63,56,28,59,47,41,294
Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,63,17,63,63,46,41,293
Gross value added at basic prices (GVA) (constant 2015 US$),NY.GDP.FCST.KD,63,17,55,59,57,42,293
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,63,17,63,63,46,41,293
Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,63,17,63,63,46,41,293
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,63,17,55,59,57,42,293
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,63,17,63,63,46,41,293
"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD,27,53,54,54,50,54,292
"Net bilateral aid flows from DAC donors, Belgium (current US$)",DC.DAC.BELL.CD,28,50,62,55,41,56,292
Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,23,61,47,60,42,58,291
"Net bilateral aid flows from DAC donors, Austria (current US$)",DC.DAC.AUTL.CD,29,51,53,56,44,57,290
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,63,17,55,59,53,42,289
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,63,17,55,59,53,42,289
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",DC.DAC.NLDL.CD,29,53,52,56,43,56,289
"Manufacturing, value added (constant 2015 US$)",NV.IND.MANF.KD,63,17,55,59,53,42,289
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,63,17,55,59,53,42,289
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,28,52,52,52,52,52,288
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,28,52,52,52,52,52,288
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,28,52,52,52,52,52,288
"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,28,52,52,52,52,52,288
"IFC, private nonguaranteed (NFL, current US$)",DT.NFL.NIFC.CD,28,52,52,52,52,52,288
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,28,52,52,52,52,52,288
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,28,52,52,52,52,52,288
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,28,52,52,52,52,52,288
